started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-01-01 07:02:57.873000+00:00,2021-01-01 07:13:13.290000+00:00,615,598,Sofienbergparken nord,langs Helgesens gate,59.923229,10.766171,446,Bislett Stadion,ved rundkjøringen,59.925471317049954,10.73121932213806
2021-01-01 07:05:35.622000+00:00,2021-01-01 07:15:49.735000+00:00,614,744,Hallénparken,ved Vogts gate,59.9315302,10.762169,465,Bjørvika,under broen Nylandsveien,59.909006,10.75618
2021-01-01 07:07:23.646000+00:00,2021-01-01 07:10:19.212000+00:00,175,460,Botanisk Hage sør,langs Jens Bjelkes gate,59.915417698024385,10.76933022142641,475,Hausmanns bru,langs Nylandsveien,59.9146509,10.7598719
2021-01-01 07:15:37.749000+00:00,2021-01-01 07:20:06.450000+00:00,268,460,Botanisk Hage sør,langs Jens Bjelkes gate,59.915417698024385,10.76933022142641,475,Hausmanns bru,langs Nylandsveien,59.9146509,10.7598719
2021-01-01 07:39:43.847000+00:00,2021-01-01 07:47:48.993000+00:00,485,447,Kværnerbyen,langs Smeltedigelen,59.904473,10.786167,599,Paléhaven,langs Strandgata,59.910331,10.75011
2021-01-01 07:53:05.075000+00:00,2021-01-01 08:06:49.033000+00:00,823,446,Bislett Stadion,ved rundkjøringen,59.925471317049954,10.73121932213806,527,Biskop Gunnerus' gate,ved Oslo City,59.9123341,10.752292
2021-01-01 07:53:38.377000+00:00,2021-01-01 07:55:12.922000+00:00,94,556,Pilestredet,ved Sporveisgata,59.9262242,10.7296246,446,Bislett Stadion,ved rundkjøringen,59.925471317049954,10.73121932213806
2021-01-01 07:55:17.728000+00:00,2021-01-01 08:04:14.701000+00:00,536,446,Bislett Stadion,ved rundkjøringen,59.925471317049954,10.73121932213806,439,Mølleparken,ved Sannerbrua,59.9283928,10.7559693
2021-01-01 08:11:26.019000+00:00,2021-01-01 08:25:07.147000+00:00,821,493,Sofienbergparken nordvest,langs Helgesens Gate,59.9243639,10.7615858,387,Studenterlunden,langs Karl Johan,59.914586,10.735453
2021-01-01 08:20:40.185000+00:00,2021-01-01 08:29:41.318000+00:00,541,434,Lindern,krysset ved Kirkeveien og Stensgata,59.9358883,10.7350062,422,St. Hanshaugen,langs Waldemar Thranes gate,59.923703,10.740542
2021-01-01 08:25:51.428000+00:00,2021-01-01 08:46:59.437000+00:00,1268,548,Colbjørnsens gate,ved Skovveien,59.91731888534716,10.716909039918278,485,Sommerfrydhagen,langs Jens Bjelkes gate,59.911453,10.776072
2021-01-01 08:29:58.028000+00:00,2021-01-01 08:32:36.724000+00:00,158,1919,Kværnerveien,Ved Kværnerveien 5,59.90591083488326,10.778592132296495,447,Kværnerbyen,langs Smeltedigelen,59.904473,10.786167
2021-01-01 08:50:42.792000+00:00,2021-01-01 09:14:03.228000+00:00,1400,738,Lodalen busstopp,langs Dyvekes vei,59.9034528,10.777958,491,Brugata,ved Chr Kroghs gate,59.91366109486603,10.75729364846211
2021-01-01 08:51:47.351000+00:00,2021-01-01 08:55:50.843000+00:00,243,552,Trelastgata,ved Nordenga bru,59.908004655328924,10.7625700380287,443,Sjøsiden ved trappen,Oslo S,59.910154466964954,10.751980909227372
2021-01-01 09:21:08.860000+00:00,2021-01-01 09:24:47.401000+00:00,218,424,Birkelunden,langs Seilduksgata,59.9256113,10.760926,463,Schous plass trikkestopp,ved biblioteket,59.9207284,10.7594857
2021-01-01 09:26:11.121000+00:00,2021-01-01 09:35:58.300000+00:00,587,476,Edvard Storms gate,ved Pilestredet,59.919111,10.736179,570,Frøen T-bane,langs Slemdalsveien,59.9347352,10.7096985
2021-01-01 09:27:29.479000+00:00,2021-01-01 09:35:07.965000+00:00,458,587,Riddervoldplass,ved Camilla Colletts vei,59.9191421,10.7196414,489,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095
2021-01-01 09:35:01.240000+00:00,2021-01-01 11:39:00.641000+00:00,7439,734,Nylandsveien,ved Urtegata,59.9156603,10.7622812,576,Dronningens gate,sør for Karl Johan,59.911392299457006,10.747281829592453
2021-01-01 09:42:03.104000+00:00,2021-01-01 09:53:33.446000+00:00,690,501,Krebs' gate,ved Vogts gate,59.935995,10.765413,521,Jess Carlsens gate,ved Hausmanns gate,59.9186359,10.7523939
2021-01-01 09:42:21.760000+00:00,2021-01-01 09:51:42.923000+00:00,561,380,Bentsebrugata,rett over busstoppet,59.93923,10.75917,554,Tåsen Senter,ved Rolf Wickstrøms vei,59.952659,10.751165
2021-01-01 09:53:02.890000+00:00,2021-01-01 09:54:52.847000+00:00,109,460,Botanisk Hage sør,langs Jens Bjelkes gate,59.915417698024385,10.76933022142641,569,Botanisk hage sør-vest,ved Sars' gate,59.91783548782385,10.766373769557958
2021-01-01 10:00:50.964000+00:00,2021-01-01 10:08:00.846000+00:00,429,447,Kværnerbyen,langs Smeltedigelen,59.904473,10.786167,523,Tøyenbekken,ved Rubina Ranas gate,59.9115945,10.7617736
2021-01-01 10:07:41.808000+00:00,2021-01-01 10:47:40.300000+00:00,2398,403,Parkveien,ved trikkestoppet,59.921768,10.730476,403,Parkveien,ved trikkestoppet,59.921768,10.730476
2021-01-01 10:23:37.165000+00:00,2021-01-01 10:36:31.787000+00:00,774,454,Furulund,langs Vækerøveien,59.9198098,10.651118,572,Skøyen,under broen,59.92226850808104,10.679579749668129
2021-01-01 10:26:18.755000+00:00,2021-01-01 10:29:33.209000+00:00,194,569,Botanisk hage sør-vest,ved Sars' gate,59.91783548782385,10.766373769557958,408,Tøyen skole,forsiden av skolebygget,59.914943,10.773977
2021-01-01 10:37:07.890000+00:00,2021-01-01 10:40:51.723000+00:00,223,417,Uranienborgparken,langs Holtegata,59.922485,10.720896,473,Majorstuveien,langs Maries gate,59.926697,10.716195
2021-01-01 10:37:46.235000+00:00,2021-01-01 10:53:38.950000+00:00,952,596,Idioten,langs Ullevålsveien,59.931020132184614,10.736036647971048,479,Tjuvholmen,ved Bryggegangen,59.909467,10.722509
2021-01-01 10:39:59.825000+00:00,2021-01-01 10:51:04.973000+00:00,665,478,Jernbanetorget,Europarådets plass,59.911901,10.749929,478,Jernbanetorget,Europarådets plass,59.911901,10.749929
2021-01-01 10:40:32.233000+00:00,2021-01-01 10:47:46.724000+00:00,434,505,Marienlystparken,langs Kirkeveien,59.93215,10.723478,384,Vår Frelsers gravlund sør,langs Ullevålsveien,59.919463,10.743829
2021-01-01 11:06:10.948000+00:00,2021-01-01 11:16:29.499000+00:00,618,744,Hallénparken,ved Vogts gate,59.9315302,10.762169,605,Økernveien,ved Ensjøveien bussholdeplass,59.9167376,10.779916
2021-01-01 11:10:15.235000+00:00,2021-01-01 11:16:59.118000+00:00,403,412,Jakob kirke,langs Torggata,59.917866,10.754898,387,Studenterlunden,langs Karl Johan,59.914586,10.735453
2021-01-01 11:10:35.126000+00:00,2021-01-01 12:00:43.835000+00:00,3008,385,Søndre gate,ved Ankerbrua,59.918632,10.757867,446,Bislett Stadion,ved rundkjøringen,59.925471317049954,10.73121932213806
2021-01-01 11:16:25.666000+00:00,2021-01-01 11:26:19.728000+00:00,594,499,Bjerregaards gate,ovenfor Fredrikke Qvams gate,59.925488,10.746058,486,Det Teologiske fakultet,langs Blindernveien,59.935342,10.726472
2021-01-01 11:20:46.575000+00:00,2021-01-01 11:42:42.209000+00:00,1315,479,Tjuvholmen,ved Bryggegangen,59.909467,10.722509,382,Stensgata,ved trikkestoppet,59.92958561753996,10.732839000000013
2021-01-01 11:37:58.535000+00:00,2021-01-01 11:53:01.555000+00:00,903,473,Majorstuveien,langs Maries gate,59.926697,10.716195,566,Hoff terrasse holdeplass,langs Hoffsveien,59.9272941,10.6755714
2021-01-01 11:48:38.429000+00:00,2021-01-01 12:04:22.995000+00:00,944,551,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182,479,Tjuvholmen,ved Bryggegangen,59.909467,10.722509
2021-01-01 11:49:47.342000+00:00,2021-01-01 12:05:28.868000+00:00,941,514,Sofienberggata,ved Sars gate,59.9212063,10.7699892,494,Rådhusbrygge 4,ved Nesoddbåten,59.9108469,10.7303766
2021-01-01 11:54:47.138000+00:00,2021-01-01 11:55:57.901000+00:00,70,734,Nylandsveien,ved Urtegata,59.9156603,10.7622812,440,Lakkegata,ved Sundtkvartalet,59.9172088,10.7622135
2021-01-01 12:01:01.957000+00:00,2021-01-01 12:11:19.007000+00:00,617,523,Tøyenbekken,ved Rubina Ranas gate,59.9115945,10.7617736,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2021-01-01 12:01:11.570000+00:00,2021-01-01 12:18:40.351000+00:00,1048,446,Bislett Stadion,ved rundkjøringen,59.925471317049954,10.73121932213806,517,Tåsenløkka,langs Uelands gate,59.9433939,10.7482848
2021-01-01 12:03:29.518000+00:00,2021-01-01 12:10:19.114000+00:00,409,422,St. Hanshaugen,langs Waldemar Thranes gate,59.923703,10.740542,547,Skippergata,ved Karl Johans gate,59.9112227,10.7481976
2021-01-01 12:04:34.349000+00:00,2021-01-01 12:09:38.305000+00:00,303,541,Langkaia,langs Rådhusgata,59.9080552,10.7479977,464,Sukkerbiten,ved gangbroen,59.90580676630004,10.753656509579287
2021-01-01 12:10:01.226000+00:00,2021-01-01 12:15:18.891000+00:00,317,478,Jernbanetorget,Europarådets plass,59.911901,10.749929,464,Sukkerbiten,ved gangbroen,59.90580676630004,10.753656509579287
2021-01-01 12:11:38.830000+00:00,2021-01-01 12:53:02.411000+00:00,2483,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627,523,Tøyenbekken,ved Rubina Ranas gate,59.9115945,10.7617736
2021-01-01 12:16:30.245000+00:00,2021-01-01 12:27:20.196000+00:00,649,583,Galgeberg,langs St. Halvards gate,59.90707579234818,10.779164402446728,522,Mandalls gate,ved Grønlandsleiret,59.9123469,10.7638147
2021-01-01 12:24:00.113000+00:00,2021-01-01 12:27:40.675000+00:00,220,1023,Professor Aschehougs plass,ved Kristian IVs gate,59.9147672,10.740971,390,Saga Kino,langs Olav Vs gate,59.91424026794647,10.732771354719745
2021-01-01 12:25:08.979000+00:00,2021-01-01 12:29:10.615000+00:00,241,507,Jens Bjelkes gate,langs Trondheimsveien,59.919179,10.764162,412,Jakob kirke,langs Torggata,59.917866,10.754898
2021-01-01 12:36:55.152000+00:00,2021-01-01 12:43:50.914000+00:00,415,460,Botanisk Hage sør,langs Jens Bjelkes gate,59.915417698024385,10.76933022142641,396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982287
2021-01-01 12:39:50.803000+00:00,2021-01-01 12:56:10.133000+00:00,979,572,Skøyen,under broen,59.92226850808104,10.679579749668129,454,Furulund,langs Vækerøveien,59.9198098,10.651118
2021-01-01 12:40:54.240000+00:00,2021-01-01 12:46:01.560000+00:00,307,464,Sukkerbiten,ved gangbroen,59.90580676630004,10.753656509579287,541,Langkaia,langs Rådhusgata,59.9080552,10.7479977
2021-01-01 12:42:03.185000+00:00,2021-01-01 13:06:31.220000+00:00,1468,734,Nylandsveien,ved Urtegata,59.9156603,10.7622812,527,Biskop Gunnerus' gate,ved Oslo City,59.9123341,10.752292
2021-01-01 12:44:53.176000+00:00,2021-01-01 12:54:39.011000+00:00,585,735,Oslo Hospital,ved trikkestoppet,59.90321254732584,10.7673442932541,585,Nordre gate,ved Grünerbrua,59.92114988507087,10.754714015938562
2021-01-01 12:45:08.339000+00:00,2021-01-01 13:27:10.329000+00:00,2521,514,Sofienberggata,ved Sars gate,59.9212063,10.7699892,464,Sukkerbiten,ved gangbroen,59.90580676630004,10.753656509579287
2021-01-01 12:46:13.037000+00:00,2021-01-01 12:54:28.552000+00:00,495,403,Parkveien,ved trikkestoppet,59.921768,10.730476,577,Arkaden Nord,langs Dronningens gate,59.9121472,10.7480527
2021-01-01 12:47:11.989000+00:00,2021-01-01 13:13:50.505000+00:00,1598,460,Botanisk Hage sør,langs Jens Bjelkes gate,59.915417698024385,10.76933022142641,559,Hoffsveien,ved Tingstuveien,59.923898,10.6760339
2021-01-01 12:47:51.591000+00:00,2021-01-01 13:00:18.178000+00:00,746,507,Jens Bjelkes gate,langs Trondheimsveien,59.919179,10.764162,464,Sukkerbiten,ved gangbroen,59.90580676630004,10.753656509579287
2021-01-01 12:47:52.276000+00:00,2021-01-01 12:51:03.837000+00:00,191,396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982287,396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982287
2021-01-01 12:47:54.899000+00:00,2021-01-01 13:00:31.509000+00:00,756,398,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117,387,Studenterlunden,langs Karl Johan,59.914586,10.735453
2021-01-01 12:48:19.029000+00:00,2021-01-01 13:00:16.817000+00:00,717,507,Jens Bjelkes gate,langs Trondheimsveien,59.919179,10.764162,464,Sukkerbiten,ved gangbroen,59.90580676630004,10.753656509579287
2021-01-01 12:48:19.802000+00:00,2021-01-01 13:03:51.337000+00:00,931,421,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819613,464,Sukkerbiten,ved gangbroen,59.90580676630004,10.753656509579287
2021-01-01 12:50:14.962000+00:00,2021-01-01 12:58:34.460000+00:00,499,553,Skråninga,ved Torggata,59.9139786,10.7474667,479,Tjuvholmen,ved Bryggegangen,59.909467,10.722509
2021-01-01 12:51:42.796000+00:00,2021-01-01 13:11:03.998000+00:00,1161,735,Oslo Hospital,ved trikkestoppet,59.90321254732584,10.7673442932541,443,Sjøsiden ved trappen,Oslo S,59.910154466964954,10.751980909227372
2021-01-01 12:54:05.970000+00:00,2021-01-01 13:13:54.658000+00:00,1188,396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982287,559,Hoffsveien,ved Tingstuveien,59.923898,10.6760339
2021-01-01 12:55:38.704000+00:00,2021-01-01 12:58:20.702000+00:00,161,465,Bjørvika,under broen Nylandsveien,59.909006,10.75618,552,Trelastgata,ved Nordenga bru,59.908004655328924,10.7625700380287
2021-01-01 13:00:55.526000+00:00,2021-01-01 13:42:46.686000+00:00,2511,596,Idioten,langs Ullevålsveien,59.931020132184614,10.736036647971048,464,Sukkerbiten,ved gangbroen,59.90580676630004,10.753656509579287
2021-01-01 13:01:22.576000+00:00,2021-01-01 13:48:52.108000+00:00,2849,735,Oslo Hospital,ved trikkestoppet,59.90321254732584,10.7673442932541,625,Spikersuppa Øst,ved Stortinget,59.91336,10.737663
2021-01-01 13:01:54.600000+00:00,2021-01-01 13:14:51.599000+00:00,776,438,BI Nydalen,ved hovedinngangen,59.949239,10.768576,398,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117
2021-01-01 13:03:00.315000+00:00,2021-01-01 13:48:27.147000+00:00,2726,596,Idioten,langs Ullevålsveien,59.931020132184614,10.736036647971048,464,Sukkerbiten,ved gangbroen,59.90580676630004,10.753656509579287
2021-01-01 13:05:15.059000+00:00,2021-01-01 13:16:06.995000+00:00,651,427,Briskeby,ved Uranienborg skole,59.920218,10.717978,521,Jess Carlsens gate,ved Hausmanns gate,59.9186359,10.7523939
2021-01-01 13:07:09.889000+00:00,2021-01-01 13:10:16.880000+00:00,186,739,Hammersborg Torg,langs Møllergata,59.91652053839767,10.749202233135232,478,Jernbanetorget,Europarådets plass,59.911901,10.749929
2021-01-01 13:07:28.020000+00:00,2021-01-01 13:14:57.797000+00:00,449,540,Lilleborgbanen,langs Ole Bulls gate,59.93363159074286,10.769118139881124,502,Ullevål sykehus,langs Kirkeveien,59.9360307,10.7364516
2021-01-01 13:16:15.251000+00:00,2021-01-01 13:37:53.565000+00:00,1298,503,Fagerheimgata,ved Dælenenga busstopp,59.927605868377185,10.76598469881135,385,Søndre gate,ved Ankerbrua,59.918632,10.757867
2021-01-01 13:18:02.821000+00:00,2021-01-01 13:24:40.083000+00:00,397,598,Sofienbergparken nord,langs Helgesens gate,59.923229,10.766171,408,Tøyen skole,forsiden av skolebygget,59.914943,10.773977
2021-01-01 13:19:23.235000+00:00,2021-01-01 13:26:38.746000+00:00,435,447,Kværnerbyen,langs Smeltedigelen,59.904473,10.786167,443,Sjøsiden ved trappen,Oslo S,59.910154466964954,10.751980909227372
2021-01-01 13:22:10.586000+00:00,2021-01-01 13:34:16.630000+00:00,726,737,Munkegata trikkestopp,langs Oslo gate,59.908255,10.7678,562,Slottsparken Øst,ved Nordraaks plass,59.917485,10.732128
2021-01-01 13:22:28.251000+00:00,2021-01-01 13:31:49.423000+00:00,561,502,Ullevål sykehus,langs Kirkeveien,59.9360307,10.7364516,394,Bjølsen Studentby,ved rundkjøringen,59.943777539367225,10.760121127577955
2021-01-01 13:31:35.359000+00:00,2021-01-01 13:33:54.120000+00:00,138,533,Sørvest for Slottsparken,langs Henrik Ibsens gate,59.915262,10.7253157,615,Munkedamsveien,ved Haakon VIIs gate,59.9135227,10.7301061
2021-01-01 13:31:47.114000+00:00,2021-01-01 13:40:19.091000+00:00,511,393,Hans Nielsen Hauges plass,langs Hans Nielsen Hauges gate,59.939244,10.774319,502,Ullevål sykehus,langs Kirkeveien,59.9360307,10.7364516
2021-01-01 13:33:58.104000+00:00,2021-01-01 13:37:57.326000+00:00,239,402,Lørenveien,sør for Lørenparken,59.93087712510462,10.791823716034969,415,Sinsenveien,ved Kongehellegata,59.929542,10.781053
2021-01-01 13:35:39.387000+00:00,2021-01-01 13:39:30.561000+00:00,231,507,Jens Bjelkes gate,langs Trondheimsveien,59.919179,10.764162,412,Jakob kirke,langs Torggata,59.917866,10.754898
2021-01-01 13:35:45.883000+00:00,2021-01-01 13:44:54.065000+00:00,548,521,Jess Carlsens gate,ved Hausmanns gate,59.9186359,10.7523939,562,Slottsparken Øst,ved Nordraaks plass,59.917485,10.732128
2021-01-01 13:36:32.681000+00:00,2021-01-01 13:46:58.815000+00:00,626,735,Oslo Hospital,ved trikkestoppet,59.90321254732584,10.7673442932541,489,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095
2021-01-01 13:42:49.242000+00:00,2021-01-01 14:51:37.552000+00:00,4128,384,Vår Frelsers gravlund sør,langs Ullevålsveien,59.919463,10.743829,451,Suhms gate,ved Oslo døvekirke,59.929419,10.726195
2021-01-01 13:43:05.408000+00:00,2021-01-01 14:31:20.502000+00:00,2895,464,Sukkerbiten,ved gangbroen,59.90580676630004,10.753656509579287,507,Jens Bjelkes gate,langs Trondheimsveien,59.919179,10.764162
